class_id,labels,scientific_name
0,ABBOTTS BABBLER,MALACOCINCLA ABBOTTI
1,ABBOTTS BOOBY,PAPASULA ABBOTTI
2,ABYSSINIAN GROUND HORNBILL,BUCORVUS ABYSSINICUS
3,AFRICAN CROWNED CRANE,BALEARICA REGULORUM
4,AFRICAN EMERALD CUCKOO,CHRYSOCOCCYX CUPREUS
5,AFRICAN FIREFINCH,LAGONOSTICTA RUBRICATA
6,AFRICAN OYSTER CATCHER,HAEMATOPUS MOQUINI
7,AFRICAN PIED HORNBILL,TOCKUS FASCIATUS
8,AFRICAN PYGMY GOOSE,NETTAPUS AURITUS
9,ALBATROSS,DIOMEDEIDAE
10,ALBERTS TOWHEE,PIPILO ABERTI
11,ALEXANDRINE PARAKEET,PSITTACULA EUPATRIA
12,ALPINE CHOUGH,PYRRHOCORAX GRACULUS
13,ALTAMIRA YELLOWTHROAT,GEOTHLYPIS FLAVOVELATA
14,AMERICAN AVOCET,PSITTACULA EUPATRIA
15,AMERICAN BITTERN,BOTAURUS LENTIGINOSUS
16,AMERICAN COOT,FULICA AMERICANA
17,AMERICAN DIPPER,CINCLUS MEXICANUS
18,AMERICAN FLAMINGO,PHOENICOPTERUS RUBER
19,AMERICAN GOLDFINCH,SPINUS TRISTIS
20,AMERICAN KESTREL,FALCO SPARVERIUS
21,AMERICAN PIPIT,ANTHUS RUBESCENS
22,AMERICAN REDSTART,SETOPHAGA RUTICILLA
23,AMERICAN ROBIN,TURDUS MIGRATORIUS
24,AMERICAN WIGEON,MARECA AMERICANA
25,AMETHYST WOODSTAR,CALLIPHLOX AMETHYSTINA
26,ANDEAN GOOSE,CHLOEPHAGA MELANOPTERA
27,ANDEAN LAPWING,VANELLUS RESPLENDENS
28,ANDEAN SISKIN,SPINUS SPINESCENS
29,ANHINGA,ANHINGA ANHINGA
30,ANIANIAU,MAGUMMA PARVA
31,ANNAS HUMMINGBIRD,CALYPTE ANNA
32,ANTBIRD,THAMNOPHILIDAE
33,ANTILLEAN EUPHONIA,EUPHONIA MUSICA
34,APAPANE,HIMATIONE SANGUINEA
35,APOSTLEBIRD,STRUTHIDEA CINEREA
36,ARARIPE MANAKIN,ANTILOPHIA BOKERMANNI
37,ASHY STORM PETREL,OCEANODROMA HOMOCHROA
38,ASHY THRUSHBIRD,GEOKICHLA CINEREA
39,ASIAN CRESTED IBIS,NIPPONIA NIPPON
40,ASIAN DOLLARD BIRD,EURYSTOMUS ORIENTALIS
41,ASIAN GREEN BEE EATER,MEROPS ORIENTALIS
42,ASIAN OPENBILL STORK,ANASTOMUS OSCITANS
43,AUCKLAND SHAQ,LEUCOCARBO COLENSOI
44,AUSTRAL CANASTERO,ASTHENES ANTHOIDES
45,AUSTRALASIAN FIGBIRD,SPHECOTHERES VIEILLOTI
46,AVADAVAT,AMANDAVA AMANDAVA
47,AZARAS SPINETAIL,SYNALLAXIS AZARAE
48,AZURE BREASTED PITTA,PITTA STEERII
49,AZURE JAY,CYANOCORAX CAERULEUS
50,AZURE TANAGER,THRAUPIS CYANOPTERA
51,AZURE TIT,CYANISTES CYANUS
52,BAIKAL TEAL,ANAS FORMOSA
53,BALD EAGLE,HALIAEETUS LEUCOCEPHALUS
54,BALD IBIS,GERONTICUS EREMITA
55,BALI STARLING,LEUCOPSAR ROTHSCHILDI
56,BALTIMORE ORIOLE,ICTERUS GALBULA
57,BANANAQUIT,COEREBA FLAVEOLA
58,BAND TAILED GUAN,PENELOPE ARGYROTIS
59,BANDED BROADBILL,EURYLAIMUS JAVANICUS
60,BANDED PITA,HYDRORNIS GUAJANA
61,BANDED STILT,CLADORHYNCHUS LEUCOCEPHALUS
62,BARN OWL,TYTO ALBA
63,BARN SWALLOW,HIRUNDO RUSTICA
64,BARRED PUFFBIRD,NYSTALUS RADIATUS
65,BARROWS GOLDENEYE,BUCEPHALA ISLANDICA
66,BAR-TAILED GODWIT,LIMOSA LAPPONICA
67,BAY-BREASTED WARBLER,SETOPHAGA CASTANEA
68,BEARDED BARBET,LYBIUS DUBIUS
69,BEARDED BELLBIRD,PROCNIAS AVERANO
70,BEARDED REEDLING,PANURUS BIARMICUS
71,BELTED KINGFISHER,MEGACERYLE ALCYON
72,BIRD OF PARADISE,STRELITZIA
73,BLACK AND YELLOW BROADBILL,EURYLAIMUS OCHROMALUS
74,BLACK BAZA,AVICEDA LEUPHOTES
75,BLACK BREASTED PUFFBIRD,NOTHARCHUS PECTORALIS
76,BLACK COCKATO,CALYPTORHYNCHUS LATIROSTRIS
77,BLACK FACED SPOONBILL,PLATALEA MINOR
78,BLACK FRANCOLIN,FRANCOLINUS FRANCOLINUS
79,BLACK HEADED CAIQUE,PIONITES MELANOCEPHALUS
80,BLACK NECKED STILT,HIMANTOPUS MEXICANUS
81,BLACK SKIMMER,RYNCHOPS NIGER
82,BLACK SWAN,CYGNUS ATRATUS
83,BLACK TAIL CRAKE,AMAURORNIS BICOLOR
84,BLACK THROATED BUSHTIT,AEGITHALOS CONCINNUS
85,BLACK THROATED HUET,PTEROPTOCHOS TARNII
86,BLACK THROATED WARBLER,SETOPHAGA CAERULESCENS
87,BLACK VENTED SHEARWATER,PUFFINUS OPISTHOMELA
88,BLACK VULTURE,CORAGYPS ATRATUS
89,BLACKBURNIAM WARBLER,SETOPHAGA FUSCA
90,BLACK-CAPPED CHICKADEE,POECILE ATRICAPILLUS
91,BLACK-NECKED GREBE,PODICEPS NIGRICOLLIS
92,BLACK-THROATED SPARROW,AMPHISPIZA BILINEATA
93,BLONDE CRESTED WOODPECKER,CELEUS FLAVESCENS
94,BLOOD PHEASANT,ITHAGINIS CRUENTUS
95,BLUE COAU,COUA CAERULEA
96,BLUE DACNIS,DACNIS CAYANA
97,BLUE GRAY GNATCATCHER,POLIOPTILA CAERULEA
98,BLUE GROSBEAK,PASSERINA CAERULEA
99,BLUE GROUSE,DENDRAGAPUS OBSCURUS
100,BLUE HERON,ARDEA HERODIAS
101,BLUE MALKOHA,CEUTHMOCHARES AEREUS
102,BLUE THROATED PIPING GUAN,PIPILE CUMANENSIS
103,BLUE THROATED TOUCANET,AULACORHYNCHUS CAERULEOGULARIS
104,BOBOLINK,DOLICHONYX ORYZIVORUS
105,BORNEAN BRISTLEHEAD,PITYRIASIS GYMNOCEPHALA
106,BORNEAN LEAFBIRD,CHLOROPSIS KINABALUENSIS
107,BORNEAN PHEASANT,POLYPLECTRON SCHLEIERMACHERI
108,BRANDT CORMARANT,PHALACROCORAX PENICILLATUS
109,BREWERS BLACKBIRD,EUPHAGUS CYANOCEPHALUS
110,BROWN CREPPER,CERTHIA AMERICANA
111,BROWN HEADED COWBIRD,MOLOTHRUS ATER
112,BROWN NOODY,ANOUS STOLIDUS
113,BROWN THRASHER,TOXOSTOMA RUFUM
114,BUFFLEHEAD,BUCEPHALA ALBEOLA
115,BULWERS PHEASANT,LOPHURA BULWERI
116,BURCHELLS COURSER,CURSORIUS RUFUS
117,BUSH TURKEY,ALECTURA LATHAMI
118,CAATINGA CACHOLOTE,PSEUDOSEISURA CRISTAT
119,CABOTS TRAGOPAN,TRAGOPAN CABOTI
120,CACTUS WREN,CAMPYLORHYNCHUS BRUNNEICAPILLUS
121,CALIFORNIA CONDOR,GYMNOGYPS CALIFORNIANUS
122,CALIFORNIA GULL,LARUS CALIFORNICUS
123,CALIFORNIA QUAIL,CALLIPEPLA CALIFORNICA
124,CAMPO FLICKER,COLAPTES CAMPESTRIS
125,CANARY,SERINUS CANARIA DOMESTICA
126,CANVASBACK,AYTHYA VALISINERIA
127,CAPE GLOSSY STARLING,LAMPROTORNIS NITENS
128,CAPE LONGCLAW,MACRONYX CAPENSIS
129,CAPE MAY WARBLER,SETOPHAGA TIGRINA
130,CAPE ROCK THRUSH,MONTICOLA RUPESTRIS
131,CAPPED HERON,PILHERODIUS PILEATUS
132,CAPUCHINBIRD,PERISSOCEPHALUS TRICOLOR
133,CARMINE BEE-EATER,MEROPS NUBICOIDES
134,CASPIAN TERN,HYDROPROGNE CASPIA
135,CASSOWARY,CASUARIUS
136,CEDAR WAXWING,BOMBYCILLA CEDRORUM
137,CERULEAN WARBLER,SETOPHAGA CERULEA
138,CHARA DE COLLAR,CYANOLYCA ARMILLATA
139,CHATTERING LORY,LORIUS GARRULUS
140,CHESTNET BELLIED EUPHONIA,EUPHONIA PECTORALIS
141,CHESTNUT WINGED CUCKOO, CLAMATOR COROMANDUS
142,CHINESE BAMBOO PARTRIDGE,BAMBUSICOLA THORACICUS
143,CHINESE POND HERON,ARDEOLA BACCHUS
144,CHIPPING SPARROW,SPIZELLA PASSERINA
145,CHUCAO TAPACULO,SCELORCHILUS RUBECULA
146,CHUKAR PARTRIDGE,ALECTORIS CHUKAR
147,CINNAMON ATTILA,ATTILA CINNAMOMEUS
148,CINNAMON FLYCATCHER,PYRRHOMYIAS CINNAMOMEUS
149,CINNAMON TEAL,ANAS CYANOPTERA
150,CLARKS GREBE,AECHMOPHORUS CLARKII
151,CLARKS NUTCRACKER,NUCIFRAGA COLUMBIANA
152,COCK OF THE  ROCK,RUPICOLA
153,COCKATOO,CACATUIDAE
154,COLLARED ARACARI,PTEROGLOSSUS TORQUATUS
155,COLLARED CRESCENTCHEST,MELANOPAREIA TORQUATA
156,COMMON FIRECREST,REGULUS IGNICAPILLA
157,COMMON GRACKLE,QUISCALUS QUISCULA
158,COMMON HOUSE MARTIN,DELICHON URBICUM
159,COMMON IORA,AEGITHINA TIPHIA
160,COMMON LOON,GAVIA IMMER
161,COMMON POORWILL,PHALAENOPTILUS NUTTALLII
162,COMMON STARLING,STURNUS VULGARIS
163,COPPERSMITH BARBET,MEGALAIMA HAEMACEPHALA
164,COPPERY TAILED COUCAL,CENTROPUS CUPREICAUDUS
165,CRAB PLOVER,DROMAS ARDEOLA
166,CRANE HAWK,GERANOSPIZA CAERULESCENS
167,CREAM COLORED WOODPECKER,CELEUS FLAVUS
168,CRESTED AUKLET,AETHIA CRISTATELLA
169,CRESTED CARACARA,CARACARA CHERIWAY
170,CRESTED COUA,COUA CRISTATA
171,CRESTED FIREBACK,LOPHURA IGNITA
172,CRESTED KINGFISHER,MEGACERYLE LUGUBRIS
173,CRESTED NUTHATCH,SITTA CAROLINENSIS
174,CRESTED OROPENDOLA,PSAROCOLIUS DECUMANUS
175,CRESTED SERPENT EAGLE,SPILORNIS CHEELA
176,CRESTED SHRIKETIT,FALCUNCULUS FRONTATUS
177,CRESTED WOOD PARTRIDGE,ROLLULUS ROULOUL
178,CRIMSON CHAT,EPTHIANURA TRICOLOR
179,CRIMSON SUNBIRD,AETHOPYGA SIPARAJA
180,CROW,CORVUS
181,CUBAN TODY,TODUS MULTICOLOR
182,CUBAN TROGON,PRIOTELUS TEMNURUS
183,CURL CRESTED ARACURI,PTEROGLOSSUS BEAUHARNAESII
184,DALMATIAN PELICAN,PELECANUS CRISPUS
185,DARJEELING WOODPECKER,DENDROCOPOS DARJELLENSIS
186,DARK EYED JUNCO,JUNCO HYEMALIS
187,D-ARNAUDS BARBET,TRACHYPHONUS DARNAUDII
188,DAURIAN REDSTART,PHOENICURUS AUROREUS
189,DEMOISELLE CRANE,GRUS VIRGO
190,DOUBLE BARRED FINCH,TAENIOPYGIA BICHENOVII
191,DOUBLE BRESTED CORMARANT,PHALACROCORAX AURITUS
192,DOUBLE EYED FIG PARROT,CYCLOPSITTA DIOPHTHALMA
193,DOWNY WOODPECKER,PICOIDES PUBESCENS
194,DUNLIN,CALIDRIS ALPINA
195,DUSKY LORY,PSEUDEOS FUSCATA
196,DUSKY ROBIN,MELANODRYAS VITTATA
197,EARED PITA,HYDRORNIS PHAYREI
198,EASTERN BLUEBIRD,SIALIA SIALIS
199,EASTERN BLUEBONNET,NORTHIELLA HAEMATOGASTER
200,EASTERN GOLDEN WEAVER,PLOCEUS SUBAUREUS
201,EASTERN MEADOWLARK,STURNELLA MAGNA
202,EASTERN ROSELLA,PLATYCERCUS EXIMIUS
203,EASTERN TOWEE,PIPILO ERYTHROPHTHALMUS
204,EASTERN WIP POOR WILL,ANTROSTOMUS VOCIFERUS
205,EASTERN YELLOW ROBIN,EOPSALTRIA AUSTRALIS
206,ECUADORIAN HILLSTAR,OREOTROCHILUS CHIMBORAZO
207,EGYPTIAN GOOSE,ALOPOCHEN AEGYPTIACA
208,ELEGANT TROGON,TROGON ELEGANS
209,ELLIOTS  PHEASANT,SYRMATICUS ELLIOTI
210,EMERALD TANAGER,TANGARA FLORIDA
211,EMPEROR PENGUIN,APTENODYTES FORSTERI
212,EMU,DROMAIUS NOVAEHOLLANDIAE
213,ENGGANO MYNA,GRACULA ENGANENSIS
214,EURASIAN BULLFINCH,PYRRHULA PYRRHULA
215,EURASIAN GOLDEN ORIOLE,ORIOLUS ORIOLUS
216,EURASIAN MAGPIE,PICA PICA
217,EUROPEAN GOLDFINCH,CARDUELIS CARDUELIS
218,EUROPEAN TURTLE DOVE,STREPTOPELIA TURTUR
219,EVENING GROSBEAK,COCCOTHRAUSTES VESPERTINUS
220,FAIRY BLUEBIRD,IRENA
221,FAIRY PENGUIN,EUDYPTULA MINOR
222,FAIRY TERN,STERNULA NEREIS
223,FAN TAILED WIDOW,EUPLECTES AXILLARIS
224,FASCIATED WREN,CAMPYLORHYNCHUS FASCIATUS
225,FIERY MINIVET,PERICROCOTUS IGNEUS
226,FIORDLAND PENGUIN,EUDYPTES PACHYRHYNCHUS
227,FIRE TAILLED MYZORNIS,MYZORNIS PYRRHOURA
228,FLAME BOWERBIRD,SERICULUS ARDENS
229,FLAME TANAGER,PIRANGA BIDENTATA
230,FOREST WAGTAIL,DENDRONANTHUS INDICUS
231,FRIGATE,FREGATIDAE
232,FRILL BACK PIGEON,COLUMBA LIVIA DOMESTICA
233,GAMBELS QUAIL,CALLIPEPLA GAMBELII
234,GANG GANG COCKATOO,CALLOCEPHALON FIMBRIATUM
235,GILA WOODPECKER,MELANERPES UROPYGIALIS
236,GILDED FLICKER,COLAPTES AURATUS
237,GLOSSY IBIS,PLEGADIS FALCINELLUS
